zero_zero_count,early_goals_count,early_goal_teams,goal_count
0,3,"['Lille 2 vs 1 Reims', 'Lille 2 vs 1 Reims', 'Lille 2 vs 1 Reims', 'Lyon 2 vs 0 Angers', 'Lyon 2 vs 0 Angers']",2
0,5,"['Lille 2 vs 1 Reims', 'Lille 2 vs 1 Reims', 'Lille 2 vs 1 Reims', 'Lyon 2 vs 0 Angers', 'Lyon 2 vs 0 Angers']",3
